time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20150501 sp258 using calib ID 16,17 (quadratic fits) with AD corr added, file x001-x011"																						
5-1-2015 02:01:30	0.996728	0.00351089	0.996728	0.00351089	0.830606	0.00353434																							
5-1-2015 02:02:30	2.00003	0.00762648	2.00003	0.00690557	1.75003	0.00760697																							
5-1-2015 02:03:30	1.08736	0.00446873	1.08736	0.00441873	1.00372	0.00447788																							
5-1-2015 02:04:30	1.50067	0.00628697	1.50067	0.00628697	1.4173	0.00614346																							
5-1-2015 02:05:30	0.915531	0.0056774	0.915531	0.00439477	0.832301	0.00560575																							
5-1-2015 02:06:30	1.00015	0.00452293	1.00015	0.00394839	0.750113	0.00454024																							
5-1-2015 02:07:30	1.16704	0.00659329	1.16704	0.0047946	1.08368	0.00669246																							
5-1-2015 02:08:30	1.41561	0.00704346	1.41561	0.00410653	1.41561	0.00723276																							
5-1-2015 02:09:30	1.08325	0.0520984	1.08325	0.00420236	0.999922	0.0522078																							
5-1-2015 02:10:30	1.33365	0.00364865	1.33365	0.00364865	1.08359	0.00360211																							
5-1-2015 02:11:30	1.75029	0.00643519	1.75029	0.00605537	1.58359	0.00640303																							
5-1-2015 02:12:30	1.7496	0.0048899	1.7496	0.0048899	1.58297	0.00487256																							
5-1-2015 02:13:30	1.08367	0.00439292	1.08367	0.00439292	1.08367	0.00433465																							
5-1-2015 02:14:30	1.41674	0.00428843	1.41674	0.00428843	1.16672	0.00435304																							
5-1-2015 02:15:30	1.33204	0.00721757	1.33204	0.00423221	0.999032	0.00715079																							
5-1-2015 02:16:30	1.50244	0.00919012	1.50244	0.00572027	1.41897	0.0092191																							
5-1-2015 02:17:30	1.58219	0.00661599	1.58219	0.00603038	1.58219	0.00666464																							
5-1-2015 02:18:30	1.41777	0.00400141	1.41777	0.00400141	1.33437	0.00407983																							
5-1-2015 02:19:30	0.91684	0.00511486	0.91684	0.00434043	0.91684	0.00509623																							
5-1-2015 02:20:30	1.58182	0.0038154	1.58182	0.0038154	1.58182	0.0039928																							
5-1-2015 02:21:30	1.4169	0.00710548	1.4169	0.00601147	1.08351	0.0069522																							
5-1-2015 02:22:30	1.58194	0.00319696	1.58194	0.00319696	1.33216	0.00320082																							
5-1-2015 02:23:30	1.24667	0.00360254	1.24667	0.00360254	0.99734	0.00358977																							
5-1-2015 02:24:30	1.42117	0.00566075	1.42117	0.00566075	1.42117	0.00555279																							
5-1-2015 02:25:30	1.08377	0.00762156	1.08377	0.005215	0.91704	0.00756959																							
5-1-2015 02:26:30	2.16702	0.0105974	2.16702	0.0100104	2.00033	0.0104533																							
5-1-2015 02:27:30	1.91652	0.00635568	1.91652	0.00600902	1.66654	0.00633489																							
5-1-2015 02:28:30	1.16284	0.00516202	1.16284	0.0050788	1.16284	0.00517157																							
5-1-2015 02:29:30	1.75664	0.00497659	1.75664	0.00497659	1.75664	0.0050314																							
5-1-2015 02:30:30	0.998873	0.00372296	0.998873	0.00372296	1.08211	0.00382696																							
5-1-2015 02:31:30	1.58488	0.0062779	1.58488	0.0062779	1.41805	0.00612869																							
5-1-2015 02:32:30	0.916442	0.00373876	0.916442	0.00349087	0.833129	0.00374073																							
5-1-2015 02:33:30	1.41616	0.00407153	1.41616	0.00407153	1.33286	0.00407447																							
5-1-2015 02:34:30	1.6676	0.0640874	1.6676	0.00627544	1.6676	0.0642273																							
5-1-2015 02:35:30	1.24972	0.00248965	1.24972	0.00248965	0.999772	0.00247193																							
5-1-2015 02:36:30	0.916563	0.00634066	0.916563	0.00634066	0.833239	0.00613964																							
5-1-2015 02:37:30	1.74938	0.00583529	1.74938	0.00526868	1.58278	0.00608261																							
5-1-2015 02:38:30	1.16999	0.00250355	1.16999	0.00250355	1.08642	0.00257035																							
