time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		
6/15/2010 05:46:24				
6/15/2010 05:47:24				
6/15/2010 05:48:24				
6/15/2010 05:49:24	2.4248	0.00432506		
6/15/2010 05:50:24	0.12911	0.000265223		
6/15/2010 05:51:24				
6/15/2010 05:52:24				
6/15/2010 05:53:24				
6/15/2010 05:54:24				
6/15/2010 05:55:24				
6/15/2010 05:56:24				
6/15/2010 05:57:24				
6/15/2010 05:58:24				
6/15/2010 05:59:24	1.44444	0.00269368		
6/15/2010 06:00:24	0.0872362	0.000109222		
6/15/2010 06:01:24				
6/15/2010 06:02:24				
6/15/2010 06:03:24				
6/15/2010 06:04:24				
6/15/2010 06:05:24				
6/15/2010 06:06:24				
6/15/2010 06:07:24				
6/15/2010 06:08:24				
6/15/2010 06:09:24	1.11111	0.00108914		
6/15/2010 06:10:24	0.0670805	8.26E-05		
6/15/2010 06:11:24				
6/15/2010 06:12:24				
6/15/2010 06:13:24				
6/15/2010 06:14:24				
6/15/2010 06:15:24				
6/15/2010 06:16:24				
6/15/2010 06:17:24				
6/15/2010 06:18:24				
6/15/2010 06:19:24	0.961538	0.00377075		
6/15/2010 06:20:24	0.076747	0.000235111		
6/15/2010 06:21:24				
6/15/2010 06:22:24				
6/15/2010 06:23:24				
6/15/2010 06:24:24				
6/15/2010 06:25:24				
6/15/2010 06:26:24				
6/15/2010 06:27:24				
6/15/2010 06:28:24				
6/15/2010 06:29:24	0.96568	0.00231251		
6/15/2010 06:30:24	0.0671061	0.000242673		
6/15/2010 06:31:24				
6/15/2010 06:32:24				
6/15/2010 06:33:24				
6/15/2010 06:34:24				
6/15/2010 06:35:24				
6/15/2010 06:36:24				
6/15/2010 06:37:24				
6/15/2010 06:38:24				
6/15/2010 06:39:24	0.921269	0.00196932		
6/15/2010 06:40:24	0.0531793	0.00018852		
6/15/2010 06:41:24				
6/15/2010 06:42:24				
6/15/2010 06:43:24				
6/15/2010 06:44:24				
6/15/2010 06:45:24				
6/15/2010 06:46:24				
6/15/2010 06:47:24				
6/15/2010 06:48:24				
6/15/2010 06:49:24	0.49642	0.00129084		
6/15/2010 06:50:24	0.0426295	7.89E-05		
6/15/2010 06:51:24				
6/15/2010 06:52:24				
6/15/2010 06:53:24				
6/15/2010 06:54:24				
6/15/2010 06:55:24				
6/15/2010 06:56:24				
6/15/2010 06:57:24				
6/15/2010 06:58:24				
6/15/2010 06:59:24	0.996337	0.00455164		
6/15/2010 07:00:24	0.067128	0.000173833		
6/15/2010 07:01:24				
6/15/2010 07:02:24				
6/15/2010 07:03:24				
6/15/2010 07:04:24				
6/15/2010 07:05:24				
6/15/2010 07:06:24				
6/15/2010 07:07:24				
6/15/2010 07:08:24				
6/15/2010 07:09:24	0.656784	0.00329838		
6/15/2010 07:10:24	0.0462705	0.000186886		
6/15/2010 07:11:24				
6/15/2010 07:12:24				
6/15/2010 07:13:24				
6/15/2010 07:14:24				
6/15/2010 07:15:24				
6/15/2010 07:16:24				
6/15/2010 07:17:24				
6/15/2010 07:18:24				
6/15/2010 07:19:24	0.582844	0.00189655		
6/15/2010 07:20:24	0.0339999	9.44E-05		
6/15/2010 07:21:24				
6/15/2010 07:22:24				
6/15/2010 07:23:24				
6/15/2010 07:24:24				
6/15/2010 07:25:24				
6/15/2010 07:26:24				
6/15/2010 07:27:24				
6/15/2010 07:28:24				
6/15/2010 07:29:24	1.46154	0.00489336		
6/15/2010 07:30:24	0.0949271	0.000510595		
6/15/2010 07:31:24				
6/15/2010 07:32:24				
6/15/2010 07:33:24				
6/15/2010 07:34:24				
6/15/2010 07:35:24				
6/15/2010 07:36:24				
6/15/2010 07:37:24				
6/15/2010 07:38:24				
6/15/2010 07:39:24	1.72397	0.00736284		
6/15/2010 07:40:24	0.0949012	0.00033718		
6/15/2010 07:41:24				
6/15/2010 07:42:24				
6/15/2010 07:43:24				
6/15/2010 07:44:24				
6/15/2010 07:45:24				
6/15/2010 07:46:24				
6/15/2010 07:47:24				
6/15/2010 07:48:24				
6/15/2010 07:49:24	0.949153	0.00409691		
6/15/2010 07:50:24	0.045274	0.0001335		
6/15/2010 07:51:24				
6/15/2010 07:52:24				
6/15/2010 07:53:24				
6/15/2010 07:54:24				
6/15/2010 07:55:24				
6/15/2010 07:56:24				
6/15/2010 07:57:24				
6/15/2010 07:58:24				
6/15/2010 07:59:24	0.73697	0.00125695		
6/15/2010 08:00:24	0.0382921	9.80E-05		
6/15/2010 08:01:24				
6/15/2010 08:02:24				
6/15/2010 08:03:24				
6/15/2010 08:04:24				
6/15/2010 08:05:24				
6/15/2010 08:06:24				
6/15/2010 08:07:24				
6/15/2010 08:08:24				
6/15/2010 08:09:24	0.733581	0.00420276		
6/15/2010 08:10:24	0.0643793	0.000289672		
6/15/2010 08:11:24				
6/15/2010 08:12:24				
6/15/2010 08:13:24				
6/15/2010 08:14:24				
6/15/2010 08:15:24				
6/15/2010 08:16:24				
6/15/2010 08:17:24				
6/15/2010 08:18:24				
6/15/2010 08:19:24	0.728167	0.0038314		
6/15/2010 08:20:24	0.050454	0.000226053		
6/15/2010 08:21:24				
6/15/2010 08:22:24				
6/15/2010 08:23:24				
6/15/2010 08:24:24				
6/15/2010 08:25:24				
6/15/2010 08:26:24				
6/15/2010 08:27:24				
6/15/2010 08:28:24				
6/15/2010 08:29:24	0.53598	0.00205253		
6/15/2010 08:30:24	0.0225927	0.000123627		
6/15/2010 08:31:24				
6/15/2010 08:32:24				
6/15/2010 08:33:24				
6/15/2010 08:34:24				
6/15/2010 08:35:24				
6/15/2010 08:36:24				
6/15/2010 08:37:24				
6/15/2010 08:38:24				
6/15/2010 08:39:24	0.968474	0.00377714		
6/15/2010 08:40:24	0.0417459	0.00011997		
6/15/2010 08:41:24				
6/15/2010 08:42:24				
6/15/2010 08:43:24				
6/15/2010 08:44:24				
6/15/2010 08:45:24				
6/15/2010 08:46:24				
6/15/2010 08:47:24				
6/15/2010 08:48:24				
6/15/2010 08:49:24	1.16145	0.00511648		
6/15/2010 08:50:24	0.0598958	0.000199241		
6/15/2010 08:51:24				
6/15/2010 08:52:24				
6/15/2010 08:53:24				
6/15/2010 08:54:24				
6/15/2010 08:55:24				
6/15/2010 08:56:24				
6/15/2010 08:57:24				
6/15/2010 08:58:24				
6/15/2010 08:59:24	0.661499	0.00200528		
6/15/2010 09:00:24	0.0504074	0.000210737		
6/15/2010 09:01:24				
6/15/2010 09:02:24				
6/15/2010 09:03:24				
6/15/2010 09:04:24				
6/15/2010 09:05:24				
6/15/2010 09:06:24				
6/15/2010 09:07:24				
6/15/2010 09:08:24				
6/15/2010 09:09:24	0.382872	0.00184598		
6/15/2010 09:10:24	0.043457	0.000238145		
6/15/2010 09:11:24				
6/15/2010 09:12:24				
6/15/2010 09:13:24				
6/15/2010 09:14:24				
6/15/2010 09:15:24				
6/15/2010 09:16:24				
6/15/2010 09:17:24				
6/15/2010 09:18:24				
6/15/2010 09:19:24	1.70256	0.0113484		
6/15/2010 09:20:24	0.0912003	0.000356818		
6/15/2010 09:21:24				
6/15/2010 09:22:24				
6/15/2010 09:23:24				
6/15/2010 09:24:24				
6/15/2010 09:25:24				
6/15/2010 09:26:24				
6/15/2010 09:27:24				
6/15/2010 09:28:24				
6/15/2010 09:29:24	0.635897	0.00245108		
6/15/2010 09:30:24	0.0616888	0.000331738		
6/15/2010 09:31:24				
6/15/2010 09:32:24				
6/15/2010 09:33:24				
6/15/2010 09:34:24				
6/15/2010 09:35:24				
6/15/2010 09:36:24				
6/15/2010 09:37:24				
6/15/2010 09:38:24				
6/15/2010 09:39:24	0.732824	0.00372335		
6/15/2010 09:40:24	0.0495114	0.000160125		
6/15/2010 09:41:24				
6/15/2010 09:42:24				
6/15/2010 09:43:24				
6/15/2010 09:44:24				
6/15/2010 09:45:24				
6/15/2010 09:46:24				
6/15/2010 09:47:24				
6/15/2010 09:48:24				
6/15/2010 09:49:24	1.55039	0.00659746		
6/15/2010 09:50:24	0.14847	0.000579925		
6/15/2010 09:51:24				
6/15/2010 09:52:24				
6/15/2010 09:53:24				
6/15/2010 09:54:24				
6/15/2010 09:55:24				
6/15/2010 09:56:24				
6/15/2010 09:57:24				
6/15/2010 09:58:24				
6/15/2010 09:59:24	2.39793	0.00640985		
6/15/2010 10:00:24	0.199685	0.000724019		
6/15/2010 10:01:24				
6/15/2010 10:02:24				
6/15/2010 10:03:24				
6/15/2010 10:04:24				
6/15/2010 10:05:24				
6/15/2010 10:06:24				
6/15/2010 10:07:24				
6/15/2010 10:08:24				
6/15/2010 10:09:24	2.91473	0.00581254		
6/15/2010 10:10:24	0.161493	0.00023842		
6/15/2010 10:11:24				
6/15/2010 10:12:24				
6/15/2010 10:13:24				
6/15/2010 10:14:24				
6/15/2010 10:15:24				
6/15/2010 10:16:24				
6/15/2010 10:17:24				
6/15/2010 10:18:24				
6/15/2010 10:19:24	1.27249	0.00326317		
6/15/2010 10:20:24	0.137998	0.000336405		
6/15/2010 10:21:24				
6/15/2010 10:22:24				
6/15/2010 10:23:24				
6/15/2010 10:24:24				
6/15/2010 10:25:24				
6/15/2010 10:26:24				
6/15/2010 10:27:24				
6/15/2010 10:28:24				
6/15/2010 10:29:24	2.77445	0.00712223		
6/15/2010 10:30:24	0.178761	0.000598342		
6/15/2010 10:31:24				
6/15/2010 10:32:24				
6/15/2010 10:33:24				
6/15/2010 10:34:24				
6/15/2010 10:35:24				
6/15/2010 10:36:24				
6/15/2010 10:37:24				
6/15/2010 10:38:24				
6/15/2010 10:39:24	3.13684	0.0100692		
6/15/2010 10:40:24	0.207375	0.000653588		
6/15/2010 10:41:24				
6/15/2010 10:42:24				
6/15/2010 10:43:24				
6/15/2010 10:44:24				
6/15/2010 10:45:24				
6/15/2010 10:46:24				
6/15/2010 10:47:24				
6/15/2010 10:48:24				
6/15/2010 10:49:24	1.95532	0.00599466		
6/15/2010 10:50:24	0.107586	0.000372808		
6/15/2010 10:51:24				
6/15/2010 10:52:24				
6/15/2010 10:53:24				
6/15/2010 10:54:24				
6/15/2010 10:55:24				
6/15/2010 10:56:24				
6/15/2010 10:57:24				
6/15/2010 10:58:24				
6/15/2010 10:59:24	2.20762	0.00524136		
6/15/2010 11:00:24	0.136189	0.000427279		
6/15/2010 11:01:24				
6/15/2010 11:02:24				
6/15/2010 11:03:24				
6/15/2010 11:04:24				
6/15/2010 11:05:24				
6/15/2010 11:06:24				
6/15/2010 11:07:24				
6/15/2010 11:08:24				
6/15/2010 11:09:24	2.56764	0.00654112		
6/15/2010 11:10:24	0.145715	0.000505138		
6/15/2010 11:11:24				
6/15/2010 11:12:24				
6/15/2010 11:13:24				
6/15/2010 11:14:24				
6/15/2010 11:15:24				
6/15/2010 11:16:24				
6/15/2010 11:17:24				
6/15/2010 11:18:24				
6/15/2010 11:19:24	10.7586	0.014283		
6/15/2010 11:20:24	0.60788	0.000687514		
6/15/2010 11:21:24				
6/15/2010 11:22:24				
6/15/2010 11:23:24				
6/15/2010 11:24:24				
6/15/2010 11:25:24				
6/15/2010 11:26:24				
6/15/2010 11:27:24				
6/15/2010 11:28:24				
6/15/2010 11:29:24	4.53476	0.00716564		
6/15/2010 11:30:24	0.267909	0.00039541		
6/15/2010 11:31:24				
6/15/2010 11:32:24				
6/15/2010 11:33:24				
6/15/2010 11:34:24				
6/15/2010 11:35:24				
6/15/2010 11:36:24				
6/15/2010 11:37:24				
6/15/2010 11:38:24				
6/15/2010 11:39:24	4.51337	0.00603474		
6/15/2010 11:40:24	0.315596	0.000533432		
6/15/2010 11:41:24				
6/15/2010 11:42:24				
6/15/2010 11:43:24				
6/15/2010 11:44:24				
6/15/2010 11:45:24				
6/15/2010 11:46:24				
6/15/2010 11:47:24				
6/15/2010 11:48:24				
6/15/2010 11:49:24	4.15529	0.00774197		
6/15/2010 11:50:24	0.265323	0.000408995		
6/15/2010 11:51:24				
6/15/2010 11:52:24				
6/15/2010 11:53:24				
6/15/2010 11:54:24				
6/15/2010 11:55:24				
6/15/2010 11:56:24				
6/15/2010 11:57:24				
6/15/2010 11:58:24				
6/15/2010 11:59:24	4.46361	0.00756442		
6/15/2010 12:00:24	0.249567	0.000521995		
6/15/2010 12:01:24				
6/15/2010 12:02:24				
6/15/2010 12:03:24				
6/15/2010 12:04:24				
6/15/2010 12:05:24				
6/15/2010 12:06:24				
6/15/2010 12:07:24				
6/15/2010 12:08:24				
6/15/2010 12:09:24	4.14016	0.00537843		
6/15/2010 12:10:24	0.284229	0.000637143		
6/15/2010 12:11:24				
6/15/2010 12:12:24				
6/15/2010 12:13:24				
6/15/2010 12:14:24				
6/15/2010 12:15:24				
6/15/2010 12:16:24				
6/15/2010 12:17:24				
6/15/2010 12:18:24				
6/15/2010 12:19:24	4.39728	0.00694724		
6/15/2010 12:20:24	0.250365	0.00058181		
6/15/2010 12:21:24				
6/15/2010 12:22:24				
6/15/2010 12:23:24				
6/15/2010 12:24:24				
6/15/2010 12:25:24				
6/15/2010 12:26:24				
6/15/2010 12:27:24				
6/15/2010 12:28:24				
6/15/2010 12:29:24	5.88203	0.0165485		
6/15/2010 12:30:24	0.371469	0.000692405		
6/15/2010 12:31:24				
6/15/2010 12:32:24				
6/15/2010 12:33:24				
6/15/2010 12:34:24				
6/15/2010 12:35:24				
6/15/2010 12:36:24				
6/15/2010 12:37:24				
6/15/2010 12:38:24				
6/15/2010 12:39:24	3.96676	0.00767914		
6/15/2010 12:40:24	0.232863	0.000468936		
6/15/2010 12:41:24				
6/15/2010 12:42:24				
6/15/2010 12:43:24				
6/15/2010 12:44:24				
6/15/2010 12:45:24				
6/15/2010 12:46:24				
6/15/2010 12:47:24				
6/15/2010 12:48:24				
6/15/2010 12:49:24	2.30168	0.00480835		
6/15/2010 12:50:24	0.184316	0.000326366		
6/15/2010 12:51:24				
6/15/2010 12:52:24				
6/15/2010 12:53:24				
6/15/2010 12:54:24				
6/15/2010 12:55:24				
6/15/2010 12:56:24				
6/15/2010 12:57:24				
6/15/2010 12:58:24				
6/15/2010 12:59:24	2.03103	0.00669753		
6/15/2010 13:00:24	0.140138	0.000226081		
6/15/2010 13:01:24				
6/15/2010 13:02:24				
6/15/2010 13:03:24				
6/15/2010 13:04:24				
6/15/2010 13:05:24				
6/15/2010 13:06:24				
6/15/2010 13:07:24				
6/15/2010 13:08:24				
6/15/2010 13:09:24	1.82077	0.00586979		
6/15/2010 13:10:24	0.144417	0.000313755		
6/15/2010 13:11:24				
6/15/2010 13:12:24				
6/15/2010 13:13:24				
6/15/2010 13:14:24				
6/15/2010 13:15:24				
6/15/2010 13:16:24				
6/15/2010 13:17:24				
6/15/2010 13:18:24				
6/15/2010 13:19:24	2.78063	0.0061613		
6/15/2010 13:20:24	0.177259	0.000477341		
6/15/2010 13:21:24				
6/15/2010 13:22:24				
6/15/2010 13:23:24				
6/15/2010 13:24:24				
6/15/2010 13:25:24				
6/15/2010 13:26:24				
6/15/2010 13:27:24				
6/15/2010 13:28:24				
6/15/2010 13:29:24	2.60087	0.00886391		
6/15/2010 13:30:24	0.164244	0.000444837		
6/15/2010 13:31:24				
6/15/2010 13:32:24				
6/15/2010 13:33:24				
6/15/2010 13:34:24				
6/15/2010 13:35:24				
6/15/2010 13:36:24				
6/15/2010 13:37:24				
6/15/2010 13:38:24				
6/15/2010 13:39:24	5.26377	0.00774865		
6/15/2010 13:40:24	0.368233	0.000658981		
6/15/2010 13:41:24				
6/15/2010 13:42:24				
6/15/2010 13:43:24				
6/15/2010 13:44:24				
6/15/2010 13:45:24				
6/15/2010 13:46:24				
6/15/2010 13:47:24				
6/15/2010 13:48:24				
6/15/2010 13:49:24	5.26377	0.0086687		
6/15/2010 13:50:24	0.303338	0.000474527		
6/15/2010 13:51:24				
6/15/2010 13:52:24				
6/15/2010 13:53:24				
6/15/2010 13:54:24				
6/15/2010 13:55:24				
6/15/2010 13:56:24				
6/15/2010 13:57:24				
6/15/2010 13:58:24				
6/15/2010 13:59:24	5.52047	0.0109913		
6/15/2010 14:00:24	0.319637	0.000508781		
6/15/2010 14:01:24				
6/15/2010 14:02:24				
6/15/2010 14:03:24				
6/15/2010 14:04:24				
6/15/2010 14:05:24				
6/15/2010 14:06:24				
6/15/2010 14:07:24				
6/15/2010 14:08:24				
6/15/2010 14:09:24	5.61404	0.0114667		
6/15/2010 14:10:24	0.331749	0.000629962		
6/15/2010 14:11:24				
6/15/2010 14:12:24				
6/15/2010 14:13:24				
6/15/2010 14:14:24				
6/15/2010 14:15:24				
6/15/2010 14:16:24				
6/15/2010 14:17:24				
6/15/2010 14:18:24				
6/15/2010 14:19:24	5.19941	0.0173714		
6/15/2010 14:20:24	0.363519	0.00103221		
6/15/2010 14:21:24				
6/15/2010 14:22:24				
6/15/2010 14:23:24				
6/15/2010 14:24:24				
6/15/2010 14:25:24				
6/15/2010 14:26:24				
6/15/2010 14:27:24				
6/15/2010 14:28:24				
6/15/2010 14:29:24	5.08657	0.00971188		
6/15/2010 14:30:24	0.357397	0.000643095		
6/15/2010 14:31:24				
6/15/2010 14:32:24				
6/15/2010 14:33:24				
