time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20120601 sp244 using calib ID 8,9 (linear fits) with AD corr added, file x001-x013"																						
6-1-2012 02:34:30	0.600027	0.00176249	0.600027	0.00176249	0.600027	0.00179117																							
6-1-2012 02:35:30	1.40065	0.00140773	1.40065	0.00140773	1.33395	0.00144094																							
6-1-2012 02:36:30	1.06643	0.00294848	1.06643	0.00246448	1.06643	0.00299287																							
6-1-2012 02:37:30	1.26705	0.00227703	1.26705	0.00206498	1.26705	0.00230434																							
6-1-2012 02:38:30	0.866742	0.00186348	0.866742	0.0018394	0.80007	0.00187769																							
6-1-2012 02:39:30	1.13325	0.00396643	1.13325	0.00264823	1.13325	0.00400059																							
6-1-2012 02:40:30	0.600038	0.000660297	0.600038	0.000660297	0.533367	0.000668872																							
6-1-2012 02:41:30	0.800119	0.00172951	0.800119	0.00172951	0.800119	0.001754																							
6-1-2012 02:42:30	1.13298	0.00141131	1.13298	0.00141131	1.13298	0.00143278																							
6-1-2012 02:43:30	1.1331	0.00141974	1.1331	0.00141974	1.1331	0.00145768																							
6-1-2012 02:44:30	0.933614	0.00157577	0.933614	0.00157577	0.933614	0.00161531																							
6-1-2012 02:45:30	1.39612	0.00341771	1.39612	0.00336014	1.39612	0.00344211																							
6-1-2012 02:46:30	1.33623	0.00157283	1.33623	0.00157283	1.33623	0.00160573																							
6-1-2012 02:47:30	1.07088	0.00299411	1.07088	0.00299411	1.07088	0.00304663																							
6-1-2012 02:48:30	1.19972	0.00291288	1.19972	0.00286494	1.13307	0.00292272																							
6-1-2012 02:49:30	1.06635	0.00149501	1.06635	0.00149501	1.06635	0.00151457																							
6-1-2012 02:50:30	0.933397	0.00110458	0.933397	0.00110458	0.933397	0.00113094																							
6-1-2012 02:51:30	1.06718	0.00222044	1.06718	0.00222044	1.06718	0.00224307																							
6-1-2012 02:52:30	1.06617	0.0021445	1.06617	0.0021445	1.06617	0.00216229																							
6-1-2012 02:53:30	0.733258	0.00132333	0.733258	0.00132333	0.733258	0.00132184																							
6-1-2012 02:54:30	0.800205	0.000779053	0.800205	0.000779053	0.800205	0.000794412																							
6-1-2012 02:55:30	0.933368	0.00226955	0.933368	0.00226955	0.933368	0.0023008																							
