time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 02:37:30	22.001	0.0351118	
6-1-2013 02:38:30	29.17	0.0511356	
6-1-2013 02:39:30	29.0028	0.0486216	
6-1-2013 02:40:30	43.4124	0.0715452	
6-1-2013 02:41:30	60.5135	0.101028	
6-1-2013 02:42:30	45.2538	0.0759193	
6-1-2013 02:43:30	42.0767	0.0633166	
6-1-2013 02:44:30	46.5101	0.0715771	
6-1-2013 02:45:30	30.25	0.0435373	
6-1-2013 02:46:30	25.6636	0.0414301	
6-1-2013 02:47:30	26.5934	0.0353687	
6-1-2013 02:48:30	21.7481	0.0388745	
6-1-2013 02:49:30	28.4961	0.0424738	
6-1-2013 02:50:30	29.5	0.0485972	
6-1-2013 02:51:30	33.6765	0.0518939	
6-1-2013 02:52:30	31.5797	0.0526324	
6-1-2013 02:53:30	28.1403	0.0543595	
6-1-2013 02:54:30	32.9097	0.0597098	
6-1-2013 02:55:30	31.6613	0.0595438	
6-1-2013 02:56:30	32.0871	0.0522578	
6-1-2013 02:57:30	38.3386	0.06609	
6-1-2013 02:58:30	43.8306	0.0728073	
6-1-2013 02:59:30	41.5743	0.0712092	
6-1-2013 03:00:30	50.76	0.0963315	
6-1-2013 03:01:30	51.0054	0.0874997	
6-1-2013 03:02:30	43.8295	0.0732976	
6-1-2013 03:03:30	44.9105	0.0772975	
6-1-2013 03:04:30	45.4199	0.0691466	
6-1-2013 03:05:30	47.0064	0.0778432	
6-1-2013 03:06:30	55.0044	0.0849105	
6-1-2013 03:07:30	54.2597	0.0874031	
6-1-2013 03:08:30	55.9796	0.0905577	
6-1-2013 03:09:30	57.5831	0.099705	
6-1-2013 03:10:30	60.2278	0.0963351	
6-1-2013 03:11:30	67.7007	0.110194	
6-1-2013 00:31:55	55.4872		
6-1-2013 00:32:05	48.4906		
6-1-2013 00:32:15	43.5355		
6-1-2013 00:32:25	48.9318		
6-1-2013 00:32:35	39.5191		
6-1-2013 00:32:45	32.2028		
6-1-2013 00:32:55	42.4978		
6-1-2013 00:33:05	45.3332		
6-1-2013 00:33:15	38.6684		
6-1-2013 00:33:25	26.2686		
6-1-2013 00:33:35	23.274		
6-1-2013 00:33:45	26.9781		
6-1-2013 00:33:55	34.479		
6-1-2013 00:34:05	24.5462		
6-1-2013 00:34:15	34.4824		
6-1-2013 00:34:25	28.5009		
6-1-2013 00:34:35	30.5255		
6-1-2013 00:34:45	26.4716		
6-1-2013 00:34:55	26.7503		
6-1-2013 00:35:05	28.7634		
6-1-2013 00:35:15	27.4475		
6-1-2013 00:35:25	29.5456		
6-1-2013 00:35:35	36.4877		
6-1-2013 00:35:45	33.9775		
6-1-2013 00:35:55	34.0351		
6-1-2013 00:36:05	32.3087		
6-1-2013 00:36:15	31.208		
6-1-2013 00:36:25	31.766		
6-1-2013 00:36:35	22.5168		
6-1-2013 00:36:45	25.4906		
6-1-2013 00:36:55	24.0051		
6-1-2013 00:37:05	27.0307		
6-1-2013 00:37:15	30.278		
6-1-2013 00:37:25	26.9806		
6-1-2013 00:37:35	40.6888		
6-1-2013 00:37:45	39.3285		
6-1-2013 00:37:55	37.023		
6-1-2013 00:38:05	42.5477		
6-1-2013 00:38:15	37.0445		
6-1-2013 00:38:25	35.8351		
6-1-2013 00:38:35	28.478		
6-1-2013 00:38:45	35.0206		
6-1-2013 00:38:55	42.9649		
6-1-2013 00:39:05	31.5043		
6-1-2013 00:39:15	44.9786		
6-1-2013 00:39:25	20.3491		
6-1-2013 00:39:35	12.6169		
6-1-2013 00:39:45	23.2627		
6-1-2013 00:39:55	13.5219		
6-1-2013 00:40:05	19.4822		
6-1-2013 00:40:15	21.508		
6-1-2013 00:40:25	16.8158		
6-1-2013 00:40:35	2.01788		
6-1-2013 00:40:45	15.0216		
6-1-2013 00:40:55	12.509		
6-1-2013 00:41:05	9.99118		
6-1-2013 00:41:15	5.49564		
6-1-2013 00:41:25	8.00772		
6-1-2013 00:41:35	7.06978		
6-1-2013 00:41:45	6.43618		
6-1-2013 00:41:55	8.01573		
6-1-2013 00:42:05	3.48966		
6-1-2013 00:42:15	6.01128		
6-1-2013 00:42:25	3.49393		
6-1-2013 00:42:35	5.50418		
6-1-2013 00:42:45	5.0013		
6-1-2013 00:42:55	6.99086		
6-1-2013 00:43:05	4.54636		
6-1-2013 00:43:15	3.96505		
6-1-2013 00:43:25	4.99685		
6-1-2013 00:43:35	4.49689		
6-1-2013 00:43:45	5.99979		
6-1-2013 00:43:55	7.00847		
6-1-2013 00:44:05	7.99611		
6-1-2013 00:44:15	4.54853		
6-1-2013 00:44:25	8.40981		
6-1-2013 00:44:35	4.5416		
6-1-2013 00:44:45	5.00497		
6-1-2013 00:44:55	2.97357		
6-1-2013 00:45:05	5.49148		
6-1-2013 00:45:15	3.99638		
6-1-2013 00:45:25	8.01946		
6-1-2013 00:45:35	5.99107		
6-1-2013 00:45:45	9.51037		
6-1-2013 00:45:55	5.9988		
6-1-2013 00:46:05	3.99946		
6-1-2013 00:46:15	3.53188		
6-1-2013 00:46:25	5.44646		
6-1-2013 00:46:35	7.51239		
6-1-2013 00:46:45	9.99996		
6-1-2013 00:46:55	8.49696		
6-1-2013 00:47:05	5.48947		
6-1-2013 00:47:15	6.00786		
6-1-2013 00:47:25	7.99979		
6-1-2013 00:47:35	5.50082		
6-1-2013 00:47:45	3.99503		
6-1-2013 00:47:55	5.50379		
6-1-2013 00:48:05	8.57867		
6-1-2013 00:48:15	7.92947		
6-1-2013 00:48:25	5.55193		
6-1-2013 00:48:35	5.9439		
6-1-2013 00:48:45	4.99663		
6-1-2013 00:48:55	5.50932		
6-1-2013 00:49:05	8.98646		
6-1-2013 00:49:15	3.50315		
6-1-2013 00:49:25	8.50458		
6-1-2013 00:49:35	6.99544		
6-1-2013 00:49:45	3.0022		
