time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 02:18:02	0.0116996	3.29E-05		
8-1-2011 02:19:02				
8-1-2011 02:20:02				
8-1-2011 02:21:02				
8-1-2011 02:22:02				
8-1-2011 02:23:02				
8-1-2011 02:24:02				
8-1-2011 02:25:02				
8-1-2011 02:26:02				
8-1-2011 02:27:02				
8-1-2011 02:28:02	0.0157986	3.29E-05		
8-1-2011 02:29:02				
8-1-2011 02:30:02				
8-1-2011 02:31:02				
8-1-2011 02:32:02				
8-1-2011 02:33:02				
8-1-2011 02:34:02				
8-1-2011 02:35:02				
8-1-2011 02:36:02				
8-1-2011 02:37:02				
8-1-2011 02:38:02	0.0141403	2.21E-05		
8-1-2011 02:39:02				
8-1-2011 02:40:02				
8-1-2011 02:41:02				
8-1-2011 02:42:02				
8-1-2011 02:43:02				
8-1-2011 02:44:02				
8-1-2011 02:45:02				
8-1-2011 02:46:02				
8-1-2011 02:47:02				
8-1-2011 02:48:02	0.0333732	5.08E-05		
8-1-2011 02:49:02				
8-1-2011 02:50:02				
8-1-2011 02:51:02				
8-1-2011 02:52:02				
8-1-2011 02:53:02				
8-1-2011 02:54:02				
8-1-2011 02:55:02				
8-1-2011 02:56:02				
8-1-2011 02:57:02				
8-1-2011 02:58:02	0.0418057	9.61E-05		
8-1-2011 02:59:02				
8-1-2011 03:00:02				
8-1-2011 03:01:02				
8-1-2011 03:02:02				
8-1-2011 03:03:02				
8-1-2011 03:04:02				
8-1-2011 03:05:02				
8-1-2011 03:06:02				
8-1-2011 03:07:02				
8-1-2011 03:08:02	0.0266024	4.67E-05		
8-1-2011 03:09:02				
8-1-2011 03:10:02				
8-1-2011 03:11:02				
8-1-2011 03:12:02				
8-1-2011 03:13:02				
8-1-2011 03:14:02				
8-1-2011 03:15:02				
8-1-2011 03:16:02				
8-1-2011 03:17:02				
8-1-2011 03:18:02	0.0191721	2.58E-05		
8-1-2011 03:19:02				
8-1-2011 03:20:02				
8-1-2011 03:21:02				
8-1-2011 03:22:02				
8-1-2011 03:23:02				
8-1-2011 03:24:02				
8-1-2011 03:25:02				
8-1-2011 03:26:02				
8-1-2011 03:27:02				
8-1-2011 03:28:02	0.0482811	9.65E-05		
8-1-2011 03:29:02				
8-1-2011 03:30:02				
8-1-2011 03:31:02				
8-1-2011 03:32:02				
8-1-2011 03:33:02				
8-1-2011 03:34:02				
8-1-2011 03:35:02				
8-1-2011 03:36:02				
8-1-2011 03:37:02				
8-1-2011 03:38:02	0.0274873	6.62E-05		
8-1-2011 03:39:02				
8-1-2011 03:40:02				
8-1-2011 03:41:02				
8-1-2011 03:42:02				
8-1-2011 03:43:02				
8-1-2011 03:44:02				
8-1-2011 03:45:02				
8-1-2011 03:46:02				
8-1-2011 03:47:02				
8-1-2011 03:48:02	0.0367484	6.62E-05		
8-1-2011 03:49:02				
8-1-2011 03:50:02				
8-1-2011 03:51:02				
8-1-2011 03:52:02				
8-1-2011 03:53:02				
8-1-2011 03:54:02				
8-1-2011 03:55:02				
8-1-2011 03:56:02				
8-1-2011 03:57:02				
8-1-2011 03:58:02	0.0375733	6.20E-05		
8-1-2011 03:59:02				
8-1-2011 04:00:02				
8-1-2011 04:01:02				
8-1-2011 04:02:02				
8-1-2011 04:03:02				
8-1-2011 04:04:02				
8-1-2011 04:05:02				
8-1-2011 04:06:02				
8-1-2011 04:07:02				
8-1-2011 04:08:02	0.0300584	5.25E-05		
8-1-2011 04:09:02				
8-1-2011 04:10:02				
8-1-2011 04:11:02				
8-1-2011 04:12:02				
8-1-2011 04:13:02				
8-1-2011 04:14:02				
8-1-2011 04:15:02				
8-1-2011 04:16:02				
8-1-2011 04:17:02				
8-1-2011 04:18:02	0.0398351	7.41E-05		
8-1-2011 04:19:02				
8-1-2011 04:20:02				
8-1-2011 04:21:02				
8-1-2011 04:22:02				
8-1-2011 04:23:02				
8-1-2011 04:24:02				
8-1-2011 04:25:02				
8-1-2011 04:26:02				
8-1-2011 04:27:02				
8-1-2011 04:28:02	0.0325553	6.64E-05		
8-1-2011 04:29:02				
8-1-2011 04:30:02				
8-1-2011 04:31:02				
8-1-2011 04:32:02				
8-1-2011 04:33:02				
8-1-2011 04:34:02				
8-1-2011 04:35:02				
8-1-2011 04:36:02				
8-1-2011 04:37:02				
8-1-2011 04:38:02	0.425792	0.000895948		
8-1-2011 04:39:02	0.000926745	5.81E-07		
8-1-2011 04:40:02				
8-1-2011 04:41:02				
8-1-2011 04:42:02				
8-1-2011 04:43:02				
8-1-2011 04:44:02				
8-1-2011 04:45:02				
8-1-2011 04:46:02				
8-1-2011 04:47:02				
8-1-2011 04:48:02	0.0333913	0.000111905		
8-1-2011 04:49:02				
