time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		date: 	20090701
7-1-2009 04:41:42					
7-1-2009 04:42:42					
7-1-2009 04:43:42					
7-1-2009 04:44:42					
7-1-2009 04:45:42					
7-1-2009 04:46:42					
7-1-2009 04:47:42					
7-1-2009 04:48:42					
7-1-2009 04:49:42					
7-1-2009 04:50:42	2.55244	0.0022419			
7-1-2009 04:51:42	0.122876	9.47E-05			
7-1-2009 04:52:42					
7-1-2009 04:53:42					
7-1-2009 04:54:42					
7-1-2009 04:55:42					
7-1-2009 04:56:42					
7-1-2009 04:57:42					
7-1-2009 04:58:42					
7-1-2009 04:59:42					
7-1-2009 05:00:42					
7-1-2009 05:01:42					
7-1-2009 05:02:42					
7-1-2009 05:03:42					
7-1-2009 05:04:42					
7-1-2009 05:05:42	2.65075	0.00208613			
7-1-2009 05:06:42	0.112043	0.000117554			
7-1-2009 05:07:42					
7-1-2009 05:08:42					
7-1-2009 05:09:42					
7-1-2009 05:10:42					
7-1-2009 05:11:42					
7-1-2009 05:12:42					
7-1-2009 05:13:42					
7-1-2009 05:14:42					
7-1-2009 05:15:42					
7-1-2009 05:16:42					
7-1-2009 05:17:42					
7-1-2009 05:18:42					
7-1-2009 05:19:42					
7-1-2009 05:20:42	2.55522	0.00214323			
7-1-2009 05:21:42	0.113754	8.20E-05			
7-1-2009 05:22:42					
7-1-2009 05:23:42					
7-1-2009 05:24:42					
7-1-2009 05:25:42					
7-1-2009 05:26:42					
7-1-2009 05:27:42					
7-1-2009 05:28:42					
7-1-2009 05:29:42					
7-1-2009 05:30:42					
7-1-2009 05:31:42					
7-1-2009 05:32:42					
7-1-2009 05:33:42					
7-1-2009 05:34:42					
7-1-2009 05:35:42	2.81791	0.00207462			
7-1-2009 05:36:42	0.126253	0.000105645			
7-1-2009 05:37:42					
7-1-2009 05:38:42					
7-1-2009 05:39:42					
7-1-2009 05:40:42					
7-1-2009 05:41:42					
7-1-2009 05:42:42					
7-1-2009 05:43:42					
7-1-2009 05:44:42					
7-1-2009 05:45:42					
7-1-2009 05:46:42					
7-1-2009 05:47:42					
7-1-2009 05:48:42					
7-1-2009 05:49:42					
7-1-2009 05:50:42	6.10334	0.00504654			
7-1-2009 05:51:42	0.268922	0.000180568			
7-1-2009 05:52:42					
7-1-2009 05:53:42					
7-1-2009 05:54:42					
7-1-2009 05:55:42					
7-1-2009 05:56:42					
7-1-2009 05:57:42					
7-1-2009 05:58:42					
7-1-2009 05:59:42					
7-1-2009 06:00:42					
7-1-2009 06:01:42					
7-1-2009 06:02:42					
7-1-2009 06:03:42					
7-1-2009 06:04:42					
7-1-2009 06:05:42	2.60578	0.00160358			
7-1-2009 06:06:42	0.133599	0.000122794			
7-1-2009 06:07:42					
7-1-2009 06:08:42					
7-1-2009 06:09:42					
7-1-2009 06:10:42					
7-1-2009 06:11:42					
7-1-2009 06:12:42					
7-1-2009 06:13:42					
7-1-2009 06:14:42					
7-1-2009 06:15:42					
7-1-2009 06:16:42					
7-1-2009 06:17:42					
7-1-2009 06:18:42					
7-1-2009 06:19:42					
7-1-2009 06:20:42	2.72755	0.00330334			
7-1-2009 06:21:42	0.108008	8.82E-05			
7-1-2009 06:22:42					
7-1-2009 06:23:42					
7-1-2009 06:24:42					
7-1-2009 06:25:42					
7-1-2009 06:26:42					
7-1-2009 06:27:42					
7-1-2009 06:28:42					
7-1-2009 06:29:42					
7-1-2009 06:30:42					
7-1-2009 06:31:42					
7-1-2009 06:32:42					
7-1-2009 06:33:42					
7-1-2009 06:34:42					
7-1-2009 06:35:42	2.09437	0.00270131			
7-1-2009 06:36:42	0.11995	8.59E-05			
7-1-2009 06:37:42					
7-1-2009 06:38:42					
7-1-2009 06:39:42					
7-1-2009 06:40:42					
7-1-2009 06:41:42					
7-1-2009 06:42:42					
7-1-2009 06:43:42					
7-1-2009 06:44:42					
7-1-2009 06:45:42					
7-1-2009 06:46:42					
7-1-2009 06:47:42					
7-1-2009 06:48:42					
7-1-2009 06:49:42					
7-1-2009 06:50:42	1.8679	0.002399			
7-1-2009 06:51:42	0.0812789	6.59E-05			
7-1-2009 06:52:42					
7-1-2009 06:53:42					
7-1-2009 06:54:42					
7-1-2009 06:55:42					
7-1-2009 06:56:42					
7-1-2009 06:57:42					
7-1-2009 06:58:42					
7-1-2009 06:59:42					
7-1-2009 07:00:42					
7-1-2009 07:01:42					
7-1-2009 07:02:42					
7-1-2009 07:03:42					
7-1-2009 07:04:42					
7-1-2009 07:05:42	1.99078	0.00137003			
7-1-2009 07:06:42	0.105701	0.000106506			
7-1-2009 07:07:42					
7-1-2009 07:08:42					
7-1-2009 07:09:42					
7-1-2009 07:10:42					
7-1-2009 07:11:42					
7-1-2009 07:12:42					
7-1-2009 07:13:42					
7-1-2009 07:14:42					
7-1-2009 07:15:42					
7-1-2009 07:16:42					
7-1-2009 07:17:42					
7-1-2009 07:18:42					
7-1-2009 07:19:42					
7-1-2009 07:20:42	2.68323	0.00302135			
7-1-2009 07:21:42	0.121608	0.000100037			
7-1-2009 07:22:42					
7-1-2009 07:23:42					
7-1-2009 07:24:42					
7-1-2009 07:25:42					
7-1-2009 07:26:42					
7-1-2009 07:27:42					
7-1-2009 07:28:42					
7-1-2009 07:29:42					
7-1-2009 07:30:42					
7-1-2009 07:31:42					
7-1-2009 07:32:42					
7-1-2009 07:33:42					
7-1-2009 07:34:42					
7-1-2009 07:35:42	3.82016	0.00301541			
7-1-2009 07:36:42	0.16366	0.000137566			
7-1-2009 07:37:42					
7-1-2009 07:38:42					
7-1-2009 07:39:42					
7-1-2009 07:40:42					
7-1-2009 07:41:42					
7-1-2009 07:42:42					
7-1-2009 07:43:42					
7-1-2009 07:44:42					
7-1-2009 07:45:42					
7-1-2009 07:46:42					
7-1-2009 07:47:42					
7-1-2009 07:48:42					
7-1-2009 07:49:42					
7-1-2009 07:50:42	7.66512	0.00778292			
7-1-2009 07:51:42	0.367614	0.000275276			
7-1-2009 07:52:42					
7-1-2009 07:53:42					
7-1-2009 07:54:42					
7-1-2009 07:55:42					
7-1-2009 07:56:42					
7-1-2009 07:57:42					
