time centers	number conc BBHG	mass conc BBHG	"this is for 20140801 sp217 using calib ID 4 (linear fit) with AD corr added, file x001-x007"			
8-1-2014 13:31:35	0.490337	0.000381488				
8-1-2014 13:31:45	1.04033	0.000716211				
8-1-2014 13:31:55	0.490023	0.000118198				
8-1-2014 13:32:05	0.511128	0.000242958				
8-1-2014 13:32:15	0.490125	0.000184061				
8-1-2014 13:32:25	0.499933	0.000161909				
8-1-2014 13:32:35	0	0				
8-1-2014 13:32:45	0.50545	0.000420995				
8-1-2014 13:32:55	0.499905	0.000234528				
8-1-2014 13:33:05	0	0				
8-1-2014 13:33:15	0.526627	0.000133117				
8-1-2014 13:33:25	0.500229	0.000143663				
8-1-2014 13:33:35	0.96027	0.000261773				
8-1-2014 13:33:45	0.511423	0.000628602				
8-1-2014 13:33:55	2.01844	0.00162918				
8-1-2014 13:34:05	0.504748	0.000396683				
8-1-2014 13:34:15	0.485941	0.000110459				
8-1-2014 13:34:25	0	0				
8-1-2014 13:34:35	0	0				
8-1-2014 13:34:45	0.504647	0.000128786				
8-1-2014 13:34:55	0	0				
8-1-2014 13:35:05	0.480485	0.00031562				
8-1-2014 13:35:15	0	0				
8-1-2014 13:35:25	0	0				
8-1-2014 13:35:35	0	0				
8-1-2014 13:35:45	0	0				
8-1-2014 13:35:55	0.505467	0.000108398				
8-1-2014 13:36:05	0	0				
8-1-2014 13:36:15	0	0				
8-1-2014 13:36:25	0.962596	0.00269182				
8-1-2014 13:36:35	0	0				
8-1-2014 13:36:45	0	0				
8-1-2014 13:36:55	0.510658	0.000108377				
8-1-2014 13:37:05	0	0				
8-1-2014 13:37:15	0	0				
8-1-2014 13:37:25	0	0				
8-1-2014 13:37:35	0	0				
8-1-2014 13:37:45	0	0				
8-1-2014 13:37:55	0	0				
8-1-2014 13:38:05	0	0				
8-1-2014 13:38:15	0	0				
8-1-2014 13:38:25	0	0				
8-1-2014 13:38:35	0	0				
8-1-2014 13:38:45	0	0				
8-1-2014 13:38:55	0	0				
8-1-2014 13:39:05	0	0				
8-1-2014 13:39:15	0	0				
8-1-2014 13:39:25	0	0				
8-1-2014 13:39:35	0.521166	0.000133451				
8-1-2014 13:39:45	0	0				
8-1-2014 13:39:55	0.490949	0.000180319				
8-1-2014 13:40:05	0	0				
8-1-2014 13:40:15	0	0				
8-1-2014 13:40:25	0	0				
8-1-2014 13:40:35	0	0				
8-1-2014 13:40:45	0	0				
8-1-2014 13:40:55	0	0				
8-1-2014 13:41:05	0	0				
8-1-2014 13:41:15	0	0				
8-1-2014 13:41:25	0	0				
8-1-2014 13:41:35	0	0				
8-1-2014 13:41:45	0	0				
8-1-2014 13:41:55	0	0				
8-1-2014 13:42:05	0	0				
8-1-2014 13:42:15	0	0				
8-1-2014 13:42:25	0	0				
8-1-2014 13:42:35	0	0				
8-1-2014 13:42:45	0	0				
8-1-2014 13:42:55	1.06499	0.00223357				
8-1-2014 13:43:05	0	0				
8-1-2014 13:43:15	0.419465	9.42E-05				
8-1-2014 13:43:25	0	0				
8-1-2014 13:43:35	0	0				
8-1-2014 13:43:45	0	0				
8-1-2014 13:43:55	0	0				
8-1-2014 13:44:05	0	0				
8-1-2014 13:44:15	0	0				
8-1-2014 13:44:25	0	0				
8-1-2014 13:44:35						
8-1-2014 13:44:45						
8-1-2014 13:44:55	0	0				
8-1-2014 13:45:05						
8-1-2014 13:45:15						
8-1-2014 13:45:25	0.222329	4.76E-05				
8-1-2014 13:45:35						
8-1-2014 13:45:45	0	0				
8-1-2014 13:45:55						
8-1-2014 13:46:05	0	0				
8-1-2014 13:46:15	0	0				
8-1-2014 13:46:25	0	0				
8-1-2014 13:46:35						
8-1-2014 13:46:45	0	0				
8-1-2014 13:46:55	0	0				
8-1-2014 13:47:05	0	0				
8-1-2014 13:47:15	0	0				
8-1-2014 13:47:25						
8-1-2014 13:47:35	0	0				
8-1-2014 13:47:45	0	0				
8-1-2014 13:47:55						
8-1-2014 13:48:05	0	0				
8-1-2014 13:48:15	0	0				
8-1-2014 13:48:25						
8-1-2014 13:48:35	0	0				
8-1-2014 13:48:45	0	0				
8-1-2014 13:48:55	0	0				
8-1-2014 13:49:05	0	0				
8-1-2014 13:49:15	0	0				
8-1-2014 13:49:25	0	0				
8-1-2014 13:49:35	0	0				
8-1-2014 13:49:45						
8-1-2014 13:49:55	0	0				
8-1-2014 13:50:05						
8-1-2014 13:50:15	0	0				
8-1-2014 13:50:25	0	0				
8-1-2014 13:50:35	0	0				
8-1-2014 13:50:45	0	0				
8-1-2014 13:50:55	0	0				
8-1-2014 13:51:05	0	0				
8-1-2014 13:51:15	0.533368	0.00745049				
8-1-2014 13:51:25	0	0				
8-1-2014 13:51:35	0	0				
8-1-2014 13:51:45	0	0				
8-1-2014 13:51:55	0	0				
8-1-2014 13:52:05	0	0				
8-1-2014 13:52:15	0	0				
8-1-2014 13:52:25	0	0				
8-1-2014 13:52:35	0	0				
8-1-2014 13:52:45	0	0				
8-1-2014 13:52:55	0	0				
8-1-2014 13:53:05	0	0				
8-1-2014 13:53:15	3.21352	0.00150408				
8-1-2014 13:53:25	2.55076	0.0016774				
8-1-2014 13:53:35	2.84207	0.00101773				
8-1-2014 13:53:45	2.96592	0.00174812				
8-1-2014 13:53:55	4.54688	0.00284535				
8-1-2014 13:54:05	1.42952	0.000493135				
8-1-2014 13:54:15	7.97051	0.003258				
8-1-2014 13:54:25	8.9968	0.00455097				
8-1-2014 13:54:35	8.65004	0.00382384				
8-1-2014 13:54:45	4.81437	0.00228147				
8-1-2014 13:54:55	3.36306	0.00467201				
8-1-2014 13:55:05	0.481216	0.00132697				
8-1-2014 13:55:15	0.438818	9.87E-05				
8-1-2014 13:55:25	0	0				
8-1-2014 13:55:35	0	0				
8-1-2014 13:55:45	0.40694	0.000134395				
8-1-2014 13:55:55	0	0				
8-1-2014 13:56:05	1.56224	0.00123102				
8-1-2014 13:56:15	0.80709	0.000182004				
