time centers	number conc comb	mass conc BBHG	mass conc comb
5-1-2015 04:24:30	1.75074	0.00576688	0.00576688
5-1-2015 04:25:30	1.41617	0.00401621	0.00401621
5-1-2015 04:26:30	1.41743	0.00316058	0.00316058
5-1-2015 04:27:30	2.41692	0.0132907	0.0218558
5-1-2015 04:28:30	1.41562	0.00520198	0.00934653
5-1-2015 04:29:30	1.33441	0.00430088	0.00430088
5-1-2015 04:30:30	1.58267	0.00481942	0.00546175
5-1-2015 04:31:30	1.16621	0.00265455	0.00265455
5-1-2015 04:32:30	1.25068	0.00349572	0.00349572
5-1-2015 04:33:30	1.50001	0.00554913	0.0119761
5-1-2015 04:34:30	1.50014	0.00679927	0.00679927
5-1-2015 04:35:30	1.41654	0.0050217	0.0176348
5-1-2015 04:36:30	1.07929	0.00263814	0.00263814
5-1-2015 04:37:30	1.75616	0.00556973	0.00644492
5-1-2015 04:38:30	1.58319	0.0069563	0.00691859
5-1-2015 04:39:30	2.24984	0.0093072	0.0110934
5-1-2015 04:40:30	2.16599	0.00663876	0.00663876
5-1-2015 04:41:30	1.33368	0.00387688	0.00387688
5-1-2015 04:42:30	0.916866	0.00310195	0.00310195
5-1-2015 04:43:30	1.91629	0.00682679	0.00682679
5-1-2015 04:44:30	1.83158	0.00688878	0.00688878
5-1-2015 04:45:30	1.7511	0.0071065	0.0071065
5-1-2015 04:46:30	1.50506	0.00395993	0.00426668
5-1-2015 04:47:30	1.08374	0.00198269	0.00198269
5-1-2015 04:48:30	1.83311	0.00808471	0.00856335
5-1-2015 04:49:30	1.83248	0.0059374	0.00618799
5-1-2015 04:50:30	0.830699	0.00187864	0.00187864
5-1-2015 04:51:30	1.9227	0.00797468	0.00927236
5-1-2015 04:52:30	2.24592	0.00930038	0.0124021
5-1-2015 04:53:30	1.08543	0.0047246	0.031889
5-1-2015 04:54:30	0.999784	0.00278029	0.00278029
5-1-2015 04:55:30	1.8342	0.00393671	0.00601051
5-1-2015 04:56:30	1.24969	0.00738298	0.0129756
5-1-2015 04:57:30	1.49964	0.00681016	0.00755128
5-1-2015 04:58:30	1.83271	0.00513266	0.00513266
5-1-2015 04:59:30	1.24972	0.0029804	0.0029804
5-1-2015 05:00:30	1.58447	0.00362759	0.00362759
5-1-2015 05:01:30	1.91665	0.00817126	0.0226878
5-1-2015 05:02:30	1.08273	0.00365384	0.00365384
5-1-2015 05:03:30	1.66756	0.00395549	0.00395549
5-1-2015 05:04:30	1.58376	0.00373189	0.00373189
5-1-2015 05:05:30	2.2493	0.00863851	0.0127356
5-1-2015 05:06:30	1.83263	0.00629215	0.00815321
5-1-2015 05:07:30	1.91563	0.00764772	0.00866625
5-1-2015 05:08:30	1.8345	0.00494467	0.00494467
5-1-2015 05:09:30	1.83322	0.00430984	0.00430984
5-1-2015 05:10:30	1.25082	0.00547454	0.042829
5-1-2015 05:11:30	1.33219	0.00511916	0.00511916
5-1-2015 05:12:30	1.16638	0.00367169	0.00367169
5-1-2015 05:13:30	1.00056	0.00273862	0.00278007
5-1-2015 05:14:30	1.33379	0.00521318	0.00582681
5-1-2015 05:15:30	1.91567	0.00682755	0.00682755
5-1-2015 05:16:30	1.1659	0.0049638	0.0049638
5-1-2015 05:17:30	1.58428	0.00440421	0.00440421
5-1-2015 05:18:30	1.66423	0.00628704	0.00628704
5-1-2015 05:19:30	1.75222	0.00621518	0.0063753
5-1-2015 05:20:30	2.00014	0.00645034	0.00787717
5-1-2015 05:21:30	1.83361	0.00548387	0.00847152
5-1-2015 05:22:30	2.16626	0.00771874	0.00771874
5-1-2015 05:23:30	1.58286	0.00786012	0.00799954
5-1-2015 05:24:30	1.66629	0.0057096	0.00708508
5-1-2015 05:25:30	1.66793	0.00382285	0.00382285
5-1-2015 05:26:30	1.99705	0.00671463	0.0091328
5-1-2015 05:27:30	1.08438	0.00705313	0.00894589
5-1-2015 05:28:30	1.58294	0.00346939	0.00346939
5-1-2015 05:29:30	1.66711	0.00509027	0.00638491
5-1-2015 05:30:30	2.1663	0.0111866	0.0145212
5-1-2015 05:31:30	1.24922	0.00356117	0.00356117
5-1-2015 05:32:30	2.49135	0.0119708	0.0286988
5-1-2015 05:33:30	1.08717	0.00267547	0.00267547
5-1-2015 05:34:30	1.66671	0.00553485	0.00596339
5-1-2015 05:35:30	2.16803	0.00731216	0.00743312
5-1-2015 05:36:30	1.5822	0.00377662	0.00377662
5-1-2015 05:37:30	1.16751	0.00360074	0.00360074
5-1-2015 05:38:30	1.66438	0.00705974	0.0136433
5-1-2015 05:39:30	1.58379	0.0100065	0.0351393
5-1-2015 05:40:30	1.74957	0.00720025	0.0163712
5-1-2015 05:41:30	1.41916	0.00434137	0.00594333
5-1-2015 05:42:30	1.74829	0.00558269	0.00558269
5-1-2015 05:43:30	1.33204	0.00522552	0.00522552
5-1-2015 05:44:30	1.08423	0.00531234	0.00531234
5-1-2015 05:45:30	1.74994	0.0080249	0.0117935
5-1-2015 05:46:30	1.08321	0.0039775	0.0039775
5-1-2015 05:47:30	1.83292	0.00748326	0.00748326
5-1-2015 05:48:30	1.58352	0.00572913	0.00572913
5-1-2015 05:49:30	1.66549	0.00365292	0.00365292
5-1-2015 05:50:30	2.0835	0.00717391	0.0112495
5-1-2015 05:51:30	2.16721	0.00691812	0.0196644
5-1-2015 05:52:30	1.16644	0.00308983	0.00308983
5-1-2015 05:53:30	1.75051	0.00519397	0.00519397
5-1-2015 05:54:30	1.58371	0.0033264	0.0033264
5-1-2015 05:55:30	1.49928	0.00716735	0.00792013
5-1-2015 05:56:30	0.916721	0.00363396	0.00363396
5-1-2015 05:57:30	1.7504	0.00442506	0.00442506
5-1-2015 05:58:30	1.58408	0.00604931	0.00739844
5-1-2015 05:59:30	1.49885	0.00523615	0.00544812
5-1-2015 06:00:30	1.50074	0.0059916	0.00630971
5-1-2015 06:01:30	1.4162	0.00332988	0.00332988
5-1-2015 06:02:30	1.5001	0.00632037	0.00804062
5-1-2015 06:03:30	2.08326	0.00391746	0.00391746
5-1-2015 06:04:30	1.74995	0.00383323	0.00383323
5-1-2015 06:05:30	1.83254	0.00660731	0.00660731
5-1-2015 06:06:30	1.16679	0.00545867	0.00546936
5-1-2015 06:07:30	0.916841	0.00593396	0.00628137
5-1-2015 06:08:30	1.5	0.00607516	0.0065556
5-1-2015 06:09:30	1.25011	0.00620008	0.010817
5-1-2015 06:10:30	1.08148	0.0045416	0.0045416
5-1-2015 06:11:30	1.75129	0.00778339	0.00820636
5-1-2015 06:12:30	1.66777	0.00528757	0.00528757
5-1-2015 06:13:30	2.17364	0.00947737	0.0110003
5-1-2015 06:14:30	1.3338	0.00265599	0.00265599
5-1-2015 06:15:30	1.66654	0.00483488	0.00483488
5-1-2015 06:16:30	1.91519	0.00725517	0.00894531
5-1-2015 06:17:30	1.9179	0.00816916	0.0146124
5-1-2015 06:18:30	2.16713	0.00779966	0.00816756
5-1-2015 06:19:30	1.49978	0.0053767	0.00642235
5-1-2015 06:20:30	1.66641	0.00750345	0.0132959
5-1-2015 06:21:30	1.83261	0.00447216	0.00447216
